,states,states_code,id,year,population
0,Belgium,BEL,0,2013,17421
1,Bulgaria,BGR,1,2013,-1108
2,Czechia,CZE,2,2013,4230
3,Denmark,DNK,3,2013,17002
4,Germany,DEU,4,2013,433385
5,Estonia,EST,5,2013,-2631
6,Ireland,IRL,6,2013,-11021
7,Greece,GRC,7,2013,-59148
8,Spain,ESP,8,2013,-251531
9,France,FRA,9,2013,98939
10,Croatia,HRV,10,2013,-4884
11,Italy,ITA,11,2013,181719
12,Cyprus,CYP,12,2013,-12078
13,Latvia,LVA,13,2013,-14262
14,Lithuania,LTU,14,2013,-16807
15,Luxembourg,LUX,15,2013,10348
16,Hungary,HUN,16,2013,4277
17,Malta,MLT,17,2013,6119
18,Netherlands,NLD,18,2013,16803
19,Austria,AUT,19,2013,47795
20,Poland,POL,20,2013,-56135
21,Portugal,PRT,21,2013,-36232
22,Romania,ROU,22,2013,-8109
23,Slovenia,SVN,23,2013,487
24,Slovakia,SVK,24,2013,2379
25,Finland,FIN,25,2013,18048
26,Sweden,SWE,26,2013,65130
27,Iceland,ISL,27,2013,2034
28,Liechtenstein,LIE,28,2013,199
29,Norway,NOR,29,2013,41790
30,Switzerland,CHE,30,2013,53961
31,Belgium,BEL,0,2014,28585
32,Bulgaria,BGR,1,2014,-2112
33,Czechia,CZE,2,2014,1429
34,Denmark,DNK,3,2014,23962
35,Germany,DEU,4,2014,560672
36,Estonia,EST,5,2014,-733
37,Ireland,IRL,6,2014,2412
38,Greece,GRC,7,2014,-47791
39,Spain,ESP,8,2014,-94976
40,France,FRA,9,2014,32280
41,Croatia,HRV,10,2014,-10220
42,Italy,ITA,11,2014,141303
43,Cyprus,CYP,12,2014,-14826
44,Latvia,LVA,13,2014,-8652
45,Lithuania,LTU,14,2014,-12327
46,Luxembourg,LUX,15,2014,11049
47,Hungary,HUN,16,2014,12368
48,Malta,MLT,17,2014,9346
49,Netherlands,NLD,18,2014,32423
50,Austria,AUT,19,2014,62771
51,Poland,POL,20,2014,-46024
52,Portugal,PRT,21,2014,-30056
53,Romania,ROU,22,2014,-36836
54,Slovenia,SVN,23,2014,-490
55,Slovakia,SVK,24,2014,1713
56,Finland,FIN,25,2014,16021
57,Sweden,SWE,26,2014,75729
58,Iceland,ISL,27,2014,1316
